2022051  02 05 11 17 21 33 - 01 | 跨度: 31 | 和值: 89  | AC: 7  | 区间: (3, 2, 1) | 奇数: (0, 1, 1, 1, 1, 1) : 5 | 尾号: (2, 5, 1, 7, 1, 3) | 012路: (2, 2, 2, 2, 0, 0) | 步长: (0, 3, 6, 6, 4, 12) : 31 | 连号: 0 | 连号组数: 0
2021124  01 03 18 22 29 32 - 02 | 跨度: 31 | 和值: 105 | AC: 10 | 区间: (2, 2, 2) | 奇数: (1, 1, 0, 0, 1, 0) : 3 | 尾号: (1, 3, 8, 2, 9, 2) | 012路: (1, 0, 0, 1, 2, 2) | 步长: (0, 2, 15, 4, 7, 3) : 31 | 连号: 0 | 连号组数: 0
2021123  06 14 15 19 29 31 - 05 | 跨度: 25 | 和值: 114 | AC: 10 | 区间: (1, 3, 2) | 奇数: (0, 0, 1, 1, 1, 1) : 4 | 尾号: (6, 4, 5, 9, 9, 1) | 012路: (0, 2, 0, 1, 2, 1) | 步长: (0, 8, 1, 4, 10, 2) : 25 | 连号: 1 | 连号组数: 1
2021122  04 05 12 15 18 28 - 07 | 跨度: 24 | 和值: 82  | AC: 7  | 区间: (2, 3, 1) | 奇数: (0, 1, 0, 1, 0, 0) : 2 | 尾号: (4, 5, 2, 5, 8, 8) | 012路: (1, 2, 0, 0, 0, 1) | 步长: (0, 1, 7, 3, 3, 10) : 24 | 连号: 1 | 连号组数: 1
2021121  04 05 12 16 22 30 - 15 | 跨度: 26 | 和值: 89  | AC: 8  | 区间: (2, 3, 1) | 奇数: (0, 1, 0, 0, 0, 0) : 1 | 尾号: (4, 5, 2, 6, 2, 0) | 012路: (1, 2, 0, 1, 1, 0) | 步长: (0, 1, 7, 4, 6, 8)  : 26 | 连号: 1 | 连号组数: 1
2021120  01 07 08 12 13 18 - 05 | 跨度: 17 | 和值: 59  | AC: 4  | 区间: (3, 3, 0) | 奇数: (1, 1, 0, 0, 1, 0) : 3 | 尾号: (1, 7, 8, 2, 3, 8) | 012路: (1, 1, 2, 0, 1, 0) | 步长: (0, 6, 1, 4, 1, 5)  : 17 | 连号: 2 | 连号组数: 2
2021119  03 09 10 11 28 29 - 13 | 跨度: 26 | 和值: 90  | AC: 6  | 区间: (4, 0, 2) | 奇数: (1, 1, 0, 1, 0, 1) : 4 | 尾号: (3, 9, 0, 1, 8, 9) | 012路: (0, 0, 1, 2, 1, 2) | 步长: (0, 6, 1, 1, 17, 1) : 26 | 连号: 3 | 连号组数: 2
2021118  02 06 14 18 20 31 - 13 | 跨度: 29 | 和值: 91  | AC: 8  | 区间: (2, 3, 1) | 奇数: (0, 0, 0, 0, 0, 1) : 1 | 尾号: (2, 6, 4, 8, 0, 1) | 012路: (2, 0, 2, 0, 2, 1) | 步长: (0, 4, 8, 4, 2, 11) : 29 | 连号: 0 | 连号组数: 0
2021117  03 05 17 21 27 33 - 04 | 跨度: 30 | 和值: 106 | AC: 7  | 区间: (2, 2, 2) | 奇数: (1, 1, 1, 1, 1, 1) : 6 | 尾号: (3, 5, 7, 1, 7, 3) | 012路: (0, 2, 2, 0, 0, 0) | 步长: (0, 2, 12, 4, 6, 6) : 30 | 连号: 0 | 连号组数: 0
2021116  06 14 17 18 31 33 - 06 | 跨度: 27 | 和值: 119 | AC: 10 | 区间: (1, 3, 2) | 奇数: (0, 0, 1, 0, 1, 1) : 3 | 尾号: (6, 4, 7, 8, 1, 3) | 012路: (0, 2, 2, 0, 1, 0) | 步长: (0, 8, 3, 1, 13, 2) : 27 | 连号: 1 | 连号组数: 1
2021115  02 10 12 15 24 27 - 08 | 跨度: 25 | 和值: 90  | AC: 8  | 区间: (2, 2, 2) | 奇数: (0, 0, 0, 1, 0, 1) : 2 | 尾号: (2, 0, 2, 5, 4, 7) | 012路: (2, 1, 0, 0, 0, 0) | 步长: (0, 8, 2, 3, 9, 3)  : 25 | 连号: 0 | 连号组数: 0
2021114  04 06 08 14 24 27 - 02 | 跨度: 23 | 和值: 83  | AC: 8  | 区间: (3, 1, 2) | 奇数: (0, 0, 0, 0, 0, 1) : 1 | 尾号: (4, 6, 8, 4, 4, 7) | 012路: (1, 0, 2, 2, 0, 0) | 步长: (0, 2, 2, 6, 10, 3) : 23 | 连号: 0 | 连号组数: 0
2021113  04 07 10 22 27 30 - 02 | 跨度: 26 | 和值: 100 | AC: 6  | 区间: (3, 1, 2) | 奇数: (0, 1, 0, 0, 1, 0) : 2 | 尾号: (4, 7, 0, 2, 7, 0) | 012路: (1, 1, 1, 1, 0, 0) | 步长: (0, 3, 3, 12, 5, 3) : 26 | 连号: 0 | 连号组数: 0
2021112  05 06 21 25 28 33 - 07 | 跨度: 28 | 和值: 118 | AC: 10 | 区间: (2, 1, 3) | 奇数: (1, 0, 1, 1, 0, 1) : 4 | 尾号: (5, 6, 1, 5, 8, 3) | 012路: (2, 0, 0, 1, 1, 0) | 步长: (0, 1, 15, 4, 3, 5) : 28 | 连号: 1 | 连号组数: 1
2021111  17 20 22 23 26 28 - 06 | 跨度: 11 | 和值: 136 | AC: 4  | 区间: (0, 3, 3) | 奇数: (1, 0, 0, 1, 0, 0) : 2 | 尾号: (7, 0, 2, 3, 6, 8) | 012路: (2, 2, 1, 2, 2, 1) | 步长: (0, 3, 2, 1, 3, 2)  : 11 | 连号: 1 | 连号组数: 1
2021110  10 13 15 24 31 32 - 02 | 跨度: 22 | 和值: 125 | AC: 10 | 区间: (1, 2, 3) | 奇数: (0, 1, 1, 0, 1, 0) : 3 | 尾号: (0, 3, 5, 4, 1, 2) | 012路: (1, 1, 0, 0, 1, 2) | 步长: (0, 3, 2, 9, 7, 1)  : 22 | 连号: 1 | 连号组数: 1
2021109  02 03 10 17 20 26 - 16 | 跨度: 24 | 和值: 78  | AC: 9  | 区间: (3, 2, 1) | 奇数: (0, 1, 0, 1, 0, 0) : 2 | 尾号: (2, 3, 0, 7, 0, 6) | 012路: (2, 0, 1, 2, 2, 2) | 步长: (0, 1, 7, 7, 3, 6)  : 24 | 连号: 1 | 连号组数: 1
2021108  11 15 18 24 26 32 - 09 | 跨度: 21 | 和值: 126 | AC: 8  | 区间: (1, 2, 3) | 奇数: (1, 1, 0, 0, 0, 0) : 2 | 尾号: (1, 5, 8, 4, 6, 2) | 012路: (2, 0, 0, 0, 2, 2) | 步长: (0, 4, 3, 6, 2, 6)  : 21 | 连号: 0 | 连号组数: 0
2021107  02 03 17 19 25 30 - 01 | 跨度: 28 | 和值: 96  | AC: 10 | 区间: (2, 2, 2) | 奇数: (0, 1, 1, 1, 1, 0) : 4 | 尾号: (2, 3, 7, 9, 5, 0) | 012路: (2, 0, 2, 1, 1, 0) | 步长: (0, 1, 14, 2, 6, 5) : 28 | 连号: 1 | 连号组数: 1
2021106  01 04 07 14 30 31 - 03 | 跨度: 30 | 和值: 87  | AC: 9  | 区间: (3, 1, 2) | 奇数: (1, 0, 1, 0, 0, 1) : 3 | 尾号: (1, 4, 7, 4, 0, 1) | 012路: (1, 1, 1, 2, 0, 1) | 步长: (0, 3, 3, 7, 16, 1) : 30 | 连号: 1 | 连号组数: 1
2021105  10 14 15 22 27 32 - 09 | 跨度: 22 | 和值: 120 | AC: 6  | 区间: (1, 3, 2) | 奇数: (0, 0, 1, 0, 1, 0) : 2 | 尾号: (0, 4, 5, 2, 7, 2) | 012路: (1, 2, 0, 1, 0, 2) | 步长: (0, 4, 1, 7, 5, 5)  : 22 | 连号: 1 | 连号组数: 1
2021104  01 07 17 20 22 28 - 15 | 跨度: 27 | 和值: 95  | AC: 8  | 区间: (2, 3, 1) | 奇数: (1, 1, 1, 0, 0, 0) : 3 | 尾号: (1, 7, 7, 0, 2, 8) | 012路: (1, 1, 2, 2, 1, 1) | 步长: (0, 6, 10, 3, 2, 6) : 27 | 连号: 0 | 连号组数: 0
2021103  10 13 15 25 29 30 - 15 | 跨度: 20 | 和值: 122 | AC: 8  | 区间: (1, 2, 3) | 奇数: (0, 1, 1, 1, 1, 0) : 4 | 尾号: (0, 3, 5, 5, 9, 0) | 012路: (1, 1, 0, 1, 2, 0) | 步长: (0, 3, 2, 10, 4, 1) : 20 | 连号: 1 | 连号组数: 1
2021102  05 09 15 24 27 30 - 09 | 跨度: 25 | 和值: 110 | AC: 7  | 区间: (2, 1, 3) | 奇数: (1, 1, 1, 0, 1, 0) : 4 | 尾号: (5, 9, 5, 4, 7, 0) | 012路: (2, 0, 0, 0, 0, 0) | 步长: (0, 4, 6, 9, 3, 3)  : 25 | 连号: 0 | 连号组数: 0
2021101  02 04 12 22 29 31 - 01 | 跨度: 29 | 和值: 100 | AC: 7  | 区间: (2, 2, 2) | 奇数: (0, 0, 0, 0, 1, 1) : 2 | 尾号: (2, 4, 2, 2, 9, 1) | 012路: (2, 1, 0, 1, 2, 1) | 步长: (0, 2, 8, 10, 7, 2) : 29 | 连号: 0 | 连号组数: 0
